soc_code,occ_title,emp_2024,emp_2034,pct_chg_2024_2034,openings_2024_2034,median_wage_2024,education_2024,emp_2021,emp_2031,pct_chg_2021_2031,openings_2021_2031,bls_merge,revision_pp,aioe_felten,gpts_dv_rating_alpha,gpts_dv_rating_beta,gpts_dv_rating_gamma,gpts_human_rating_alpha,gpts_human_rating_beta,gpts_human_rating_gamma,aei_observed_exposure,n_onet_tasks,mean_task_importance,aei_claude_usage_share,gpts_task_alpha_mean,gpts_task_beta_mean,gpts_task_gamma_mean
11-1011,Chief executives,309.4,322.7,4.3,22.2,206420.0,Bachelor's degree,283.9,263.3,-7.3,17.7,both_vintages,11.6,1.334246,0.1333333333333333,0.5077777777777778,0.8822222222222222,0.11777777777777775,0.36944444444444435,0.6211111111111112,0.0333,49.0,3.8797959183673467,0.164845999942483,0.12244897959183673,0.4897959183673469,0.8571428571428571
11-1021,General and operations managers,3712.9,3876.8,4.4,308.7,102950.0,Bachelor's degree,3118.4,3328.2,6.7,300.4,both_vintages,-2.3,0.5748773,0.0,0.4807692307692308,0.9615384615384616,0.1153846153846153,0.3846153846153846,0.6538461538461539,0.1378,17.0,3.6958823529411764,0.0347152323866413,0.0,0.47058823529411764,0.9411764705882353
11-1031,Legislators,27.7,28.6,3.4,2.2,44810.0,Bachelor's degree,45.5,47.0,3.3,3.8,both_vintages,0.10000000000000009,,0.0333333333333333,0.4,0.7666666666666666,0.2666666666666666,0.5166666666666666,0.7666666666666666,0.0,30.0,,0.023417375692763802,0.03333333333333333,0.4,0.7666666666666667
11-2011,Advertising and promotions managers,27.0,26.4,-2.2,2.1,126960.0,Bachelor's degree,28.0,30.0,7.1,3.0,both_vintages,-9.3,1.294387,0.0,0.4767441860465116,0.9534883720930232,0.2558139534883721,0.5465116279069767,0.8372093023255813,0.1731,30.0,3.691904761904762,0.160737688417437,0.0,0.4666666666666667,0.9333333333333333
11-2021,Marketing managers,407.0,433.7,6.6,34.3,161030.0,Bachelor's degree,319.0,350.7,9.9,32.2,both_vintages,-3.3000000000000007,1.315032,0.0625,0.5,0.9375,0.21875,0.578125,0.9375,0.3195,20.0,3.4295,0.0513538940630786,0.05,0.5,0.95
11-2022,Sales managers,619.5,648.5,4.7,49.0,138060.0,Bachelor's degree,469.8,493.6,5.1,41.9,both_vintages,-0.39999999999999947,1.26628,0.0,0.45,0.9,0.1,0.4833333333333333,0.8666666666666667,0.0433,17.0,3.7294117647058824,0.0244444535740255,0.0,0.4411764705882353,0.8823529411764706
11-2032,Public relations managers,83.2,87.3,5.0,6.6,138520.0,Bachelor's degree,66.7,71.7,7.6,6.1,both_vintages,-2.5999999999999996,,0.15,0.55,0.95,0.25,0.5750000000000001,0.9,0.2315,20.0,,0.1449206890460086,0.15,0.55,0.95
11-2033,Fundraising managers,45.7,47.6,4.2,3.6,123480.0,Bachelor's degree,31.4,34.5,9.7,3.0,both_vintages,-5.499999999999999,,0.125,0.5625,1.0,0.25,0.5,0.75,,16.0,3.741875,0.1523156497910922,0.125,0.5625,1.0
11-3012,Administrative services managers,271.2,283.8,4.6,23.2,108390.0,Bachelor's degree,239.0,255.1,6.7,22.0,both_vintages,-2.1000000000000005,,0.0869565217391304,0.3913043478260869,0.6956521739130435,0.2608695652173913,0.5,0.7391304347826086,0.0,18.0,3.655,0.0,0.1111111111111111,0.4166666666666667,0.7222222222222222
11-3013,Facilities managers,151.4,157.1,3.8,13.2,104690.0,Bachelor's degree,109.1,116.6,6.9,9.9,both_vintages,-3.1000000000000005,,0.0357142857142857,0.40016233766233766,0.7646103896103895,0.17045454545454544,0.4042207792207792,0.637987012987013,0.1345,39.0,3.968461538461539,0.2007937257866385,0.05128205128205128,0.4358974358974359,0.8205128205128205
